shoe_slug,manufacturer_source_present,runrepeat_status,doctors_of_running_status,believe_in_the_run_status,independent_wear_test_source_count,major_evidence_gaps,coverage_notes,last_reviewed_by,last_review_date
brooks-ghost-18,yes,not_checked,not_checked,not_checked,,Independent lab and wear-test coverage not checked,Manufacturer source verified in Stage 1 pilot,Stage 1 pilot review,2026-09-11
saucony-ride-19,yes,not_checked,not_checked,not_checked,,Independent lab and wear-test coverage not checked,Manufacturer source verified in Stage 1 pilot,Stage 1 pilot review,2026-09-11
altra-torin-8,yes,not_checked,not_checked,not_checked,,Independent lab and wear-test coverage not checked,Manufacturer source verified in Stage 1 pilot,Stage 1 pilot review,2026-09-11
asics-gel-nimbus-28,yes,not_checked,not_checked,not_checked,,Independent lab and wear-test coverage not checked,Manufacturer source verified in Stage 1 pilot,Stage 1 pilot review,2026-09-11
new-balance-fresh-foam-x-hierro-v9,yes,not_checked,not_checked,not_checked,,Independent lab and wear-test coverage not checked,Manufacturer source verified in Stage 1 pilot,Stage 1 pilot review,2026-09-11
brooks-adrenaline-gts-25,yes,not_checked,not_checked,not_checked,,Independent lab and wear-test coverage not checked,Manufacturer source verified in Stage 1 pilot,Stage 1 pilot review,2026-09-11
asics-gel-kayano-32,yes,not_checked,not_checked,not_checked,,Independent lab and wear-test coverage not checked,Manufacturer source verified in Stage 1 pilot,Stage 1 pilot review,2026-09-11
saucony-endorphin-speed-5,yes,not_checked,not_checked,not_checked,,Independent lab and wear-test coverage not checked,Manufacturer source verified in Stage 1 pilot,Stage 1 pilot review,2026-09-11
new-balance-fuelcell-rebel-v5,yes,not_checked,not_checked,not_checked,,Independent lab and wear-test coverage not checked,Manufacturer source verified in Stage 1 pilot,Stage 1 pilot review,2026-09-11
nike-vaporfly-4,yes,not_checked,not_checked,not_checked,,Independent lab and wear-test coverage not checked,Manufacturer source verified in Stage 1 pilot,Stage 1 pilot review,2026-09-11
adidas-adizero-adios-pro-4,yes,not_checked,not_checked,not_checked,,Independent lab and wear-test coverage not checked,Manufacturer source verified in Stage 1 pilot,Stage 1 pilot review,2026-09-11
saucony-cohesion-19,yes,not_checked,not_checked,not_checked,,Independent lab and wear-test coverage not checked,Manufacturer source verified in Stage 1 pilot,Stage 1 pilot review,2026-09-11
