shoe_slug,evidence_source_name,source_tier,source_url_or_reference,evidence_date,evidence_type,objective_facts_observed,reviewer_observations,metrics_informed,evidence_summary,conflicts_or_disagreements,reviewer_notes,collected_by,collection_date
brooks-ghost-18,Official Brooks product page,tier_0_manufacturer,https://www.brooksrunning.com/en_us/mens/shoes/road-running-shoes/ghost-18/110493.html,,objective_specification,Verified objective identity and specification set in pilot-shoes.csv,,,Verified official manufacturer source for Stage 1 objective data,,Marketing claims are not subjective metric evidence,Stage 1 pilot review,2026-09-11
saucony-ride-19,Official Saucony product page,tier_0_manufacturer,https://www.saucony.com/en/ride-19/60823M.html,,objective_specification,Verified objective identity and specification set in pilot-shoes.csv,,,Verified official manufacturer source for Stage 1 objective data,,Marketing claims are not subjective metric evidence,Stage 1 pilot review,2026-09-11
altra-torin-8,Official Altra product page,tier_0_manufacturer,https://www.altrarunning.com/en-us/products/mens-torin-8-al0a85qe,,objective_specification,Verified objective identity and specification set in pilot-shoes.csv,,,Verified official manufacturer source for Stage 1 objective data,,Marketing claims are not subjective metric evidence,Stage 1 pilot review,2026-09-11
asics-gel-nimbus-28,Official ASICS product page,tier_0_manufacturer,https://www.asics.com/us/en-us/gel-nimbus-28/p/ANA_1011C127-002.html,,objective_specification,Verified objective identity and specification set in pilot-shoes.csv,,,Verified official manufacturer source for Stage 1 objective data,,Marketing claims are not subjective metric evidence,Stage 1 pilot review,2026-09-11
new-balance-fresh-foam-x-hierro-v9,Official New Balance product page,tier_0_manufacturer,https://www.newbalance.com/pd/fresh-foam-x-hierro-v9/MTHIERV9-50176.html,,objective_specification,Verified objective identity and specification set in pilot-shoes.csv,,,Verified official manufacturer source for Stage 1 objective data,,Marketing claims are not subjective metric evidence,Stage 1 pilot review,2026-09-11
brooks-adrenaline-gts-25,Official Brooks product page,tier_0_manufacturer,https://www.brooksrunning.com/en_us/mens/shoes/road-running-shoes/adrenaline-gts-25/110454.html,,objective_specification,Verified objective identity and specification set in pilot-shoes.csv,,,Verified official manufacturer source for Stage 1 objective data,,Marketing claims are not subjective metric evidence,Stage 1 pilot review,2026-09-11
asics-gel-kayano-32,Official ASICS product page,tier_0_manufacturer,https://www.asics.com/us/en-us/gel-kayano-32-extra-wide/p/ANA_1011C054-001.html,,objective_specification,Verified objective identity and specification set in pilot-shoes.csv,,,Verified official manufacturer source for Stage 1 objective data,,Marketing claims are not subjective metric evidence,Stage 1 pilot review,2026-09-11
saucony-endorphin-speed-5,Official Saucony product page,tier_0_manufacturer,https://www.saucony.com/en/endorphin-speed-5/60307M.html,,objective_specification,Verified objective identity and specification set in pilot-shoes.csv,,,Verified official manufacturer source for Stage 1 objective data,,Marketing claims are not subjective metric evidence,Stage 1 pilot review,2026-09-11
new-balance-fuelcell-rebel-v5,Official New Balance product page,tier_0_manufacturer,https://www.newbalance.com/pd/fuelcell-rebel-v5/MFCXLO5-D-18.html,,objective_specification,Verified objective identity and specification set in pilot-shoes.csv,,,Verified official manufacturer source for Stage 1 objective data,,Marketing claims are not subjective metric evidence,Stage 1 pilot review,2026-09-11
nike-vaporfly-4,Official Nike product page,tier_0_manufacturer,https://www.nike.com/t/vaporfly-4-mens-road-racing-shoes-HK05JWOf/II7203-100,,objective_specification,Verified objective identity and specification set in pilot-shoes.csv,,,Verified official manufacturer source for Stage 1 objective data,,Marketing claims are not subjective metric evidence,Stage 1 pilot review,2026-09-11
adidas-adizero-adios-pro-4,Official adidas product page,tier_0_manufacturer,https://www.adidas.com/us/adizero-adios-pro-4-shoes/JR4887.html,,objective_specification,Verified objective identity and specification set in pilot-shoes.csv,,,Verified official manufacturer source for Stage 1 objective data,,Marketing claims are not subjective metric evidence,Stage 1 pilot review,2026-09-11
saucony-cohesion-19,Official Saucony product page,tier_0_manufacturer,https://www.saucony.com/en/cohesion-19-wide/61248M.html,,objective_specification,Verified objective identity and specification set in pilot-shoes.csv,,,Verified official manufacturer source for Stage 1 objective data,,Marketing claims are not subjective metric evidence,Stage 1 pilot review,2026-09-11
