brand,model_name,slug,model_version,model_year,status,gender,is_public,msrp,currency,release_date,short_description,full_description,primary_image_url,spec_primary_surface,spec_support_category,spec_manufacturer_support_label,spec_weight_value,spec_weight_unit,spec_weight_reference_size,spec_weight_reference_category,spec_heel_to_toe_drop_mm,spec_general_stack_height_mm,spec_heel_stack_height_mm,spec_forefoot_stack_height_mm,spec_available_widths,spec_source_name,spec_source_url,spec_verified_at,spec_verification_status,spec_notes
Brooks,Ghost 18,brooks-ghost-18,18,,active,men,false,150,USD,,Pilot selection: neutral road daily trainer.,,,road,,Balanced,,,,,10,,,,1B|1D|2E|4E,Official Brooks product page,https://www.brooksrunning.com/en_us/mens/shoes/road-running-shoes/ghost-18/110493.html,2026-09-11,source_checked,Stage 1 only. Manufacturer support label Balanced is preserved while canonical support remains blank for human review. Weight is omitted because the page does not identify a reference size. Stack and release date are not published on the source page.
Saucony,Ride 19,saucony-ride-19,19,,active,men,false,145,USD,,Pilot selection: neutral road daily trainer.,,,road,neutral,,,,,,8,,36,28,Regular|Wide,Official Saucony product page,https://www.saucony.com/en/ride-19/60823M.html,2026-09-11,source_checked,Stage 1 only. Weight is omitted because the page does not identify a reference size. Release date is not published on the source page.
Altra,Torin 8,altra-torin-8,8,,active,men,false,160,USD,,Pilot selection: zero-drop neutral road daily trainer.,,,road,neutral,,,,,,0,30,,,Regular|Wide,Official Altra product page,https://www.altrarunning.com/en-us/products/mens-torin-8-al0a85qe,2026-09-11,source_checked,Stage 1 only. The manufacturer-published general 30 mm stack is preserved without populating heel or forefoot stack fields. Weight is omitted because the page does not identify a reference size. Release date is not published.
ASICS,GEL-NIMBUS 28,asics-gel-nimbus-28,28,,active,men,false,170,USD,,Pilot selection: neutral max-cushion trainer.,,,,neutral,,,,,,8,,,,,Official ASICS product page,https://www.asics.com/us/en-us/gel-nimbus-28/p/ANA_1011C127-002.html,2026-09-11,source_checked,Stage 1 only. Surface is left blank because the cited page does not explicitly classify it with the v1 surface vocabulary. Weight is omitted because the page does not identify a reference size. Stack widths and release date are not published.
New Balance,Fresh Foam X Hierro v9,new-balance-fresh-foam-x-hierro-v9,9,,active,men,false,159.99,USD,,Pilot selection: neutral max-cushion trail trainer.,,,trail,neutral,,,,,,4,,,,D|2E|4E,Official New Balance product page,https://www.newbalance.com/pd/fresh-foam-x-hierro-v9/MTHIERV9-50176.html,2026-09-11,source_checked,Stage 1 only. Weight is omitted because the page does not identify a reference size. Stack and release date are not published on the source page.
Brooks,Adrenaline GTS 25,brooks-adrenaline-gts-25,25,,active,men,false,155,USD,,Pilot selection: structured-support road trainer.,,,road,,Structured,,,,,10,,,,1D|2E|4E,Official Brooks product page,https://www.brooksrunning.com/en_us/mens/shoes/road-running-shoes/adrenaline-gts-25/110454.html,2026-09-11,source_checked,Stage 1 only. Manufacturer support label Structured is preserved while canonical support remains blank for human review. Weight is omitted because the page does not identify a reference size. Stack and release date are not published.
ASICS,GEL-KAYANO 32,asics-gel-kayano-32,32,,active,men,false,165,USD,,Pilot selection: stability road trainer.,,,road,stability,,,,,,8,,,,Standard|Wide|Extra Wide,Official ASICS product page,https://www.asics.com/us/en-us/gel-kayano-32-extra-wide/p/ANA_1011C054-001.html,2026-09-11,source_checked,Stage 1 only. Weight is omitted because the page does not identify a reference size. Stack and release date are not published on the source page.
Saucony,Endorphin Speed 5,saucony-endorphin-speed-5,5,,active,men,false,175,USD,,Pilot selection: neutral road tempo and speed shoe.,,,road,neutral,,,,,,8,,36,28,Regular|Wide,Official Saucony product page,https://www.saucony.com/en/endorphin-speed-5/60307M.html,2026-09-11,source_checked,Stage 1 only. Weight is omitted because the page does not identify a reference size. Release date is not published on the source page.
New Balance,FuelCell Rebel v5,new-balance-fuelcell-rebel-v5,5,,active,men,false,144.99,USD,,Pilot selection: neutral tempo and speed trainer.,,,,neutral,,,,,,6,,,,D|2E,Official New Balance product page,https://www.newbalance.com/pd/fuelcell-rebel-v5/MFCXLO5-D-18.html,2026-09-11,source_checked,Stage 1 only. Surface is left blank because the cited page does not explicitly classify it with the v1 surface vocabulary. Weight is omitted because the page does not identify a reference size. Stack and release date are not published.
Nike,Vaporfly 4,nike-vaporfly-4,4,,active,men,false,280,USD,,Pilot selection: road racing shoe.,,,road,,,6.7,oz,US 10,men,6,,,,,Official Nike product page,https://www.nike.com/t/vaporfly-4-mens-road-racing-shoes-HK05JWOf/II7203-100,2026-09-11,source_checked,Stage 1 only. Manufacturer-listed weight is preserved in ounces at the stated Men's US 10 reference with no conversion. Support category stack widths and release date are not published on the source page.
adidas,Adizero Adios Pro 4,adidas-adizero-adios-pro-4,4,,active,men,false,255,USD,,Pilot selection: road racing shoe.,,,road,,,200,g,UK 8.5,men,6,,,,,Official adidas product page,https://www.adidas.com/us/adizero-adios-pro-4-shoes/JR4887.html,2026-09-11,source_checked,Stage 1 only. The manufacturer-listed approximate 200 g weight at UK 8.5 is preserved without conversion. The page's stack wording is ambiguous so general heel and forefoot fields remain blank. Support widths and release date are not published.
Saucony,Cohesion 19,saucony-cohesion-19,19,,active,men,false,80,USD,,Pilot selection: budget-oriented neutral road trainer.,,,road,neutral,,,,,,,,,,Regular|Wide,Official Saucony product page,https://www.saucony.com/en/cohesion-19-wide/61248M.html,2026-09-11,source_checked,Stage 1 only. Weight drop stack heights and release date are not published on the source page.
